Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Lead Braking Distance (m),Braking Phase
8.4,20.43,20.08,19.99,46.86,19.92,25.97,5.675,5.553,0.222,0.0,0.0,,
8.45,20.47,19.91,19.99,46.85,20.2,26.25,5.686,5.553,0.222,0.0,0.0,,
8.5,20.51,20.08,19.99,46.84,20.49,26.53,5.697,5.553,0.222,0.0,0.0,,
8.55,20.52,19.91,19.99,46.84,20.77,26.81,5.7,5.553,0.056,0.0,0.0,,
8.6,20.5,20.08,19.99,46.83,21.06,27.08,5.694,5.553,-0.111,0.0,0.0,,
8.65,20.45,19.91,19.99,46.82,21.34,27.36,5.681,5.553,-0.278,0.0,0.0,,
8.7,20.38,20.08,19.99,46.82,21.62,27.64,5.661,5.553,-0.389,0.0,0.0,,
8.75,20.29,19.91,19.99,46.81,21.91,27.92,5.636,5.553,-0.5,0.0,0.0,,
8.8,20.18,20.08,19.99,46.81,22.19,28.19,5.606,5.553,-0.611,0.0,0.0,,
8.85,20.08,19.91,19.99,46.81,22.47,28.47,5.578,5.553,-0.556,0.0,0.0,,
8.9,19.99,20.08,19.99,46.81,22.74,28.75,5.553,5.553,-0.5,0.0,0.0,,
8.95,19.91,19.91,19.99,46.81,23.02,29.03,5.531,5.553,-0.444,0.0,0.0,,
9.0,19.87,20.08,19.99,46.81,23.3,29.31,5.519,5.553,-0.222,0.0,0.0,,
9.05,19.85,19.91,19.99,46.81,23.57,29.58,5.514,5.553,-0.111,0.0,0.0,,
9.1,19.85,20.08,19.99,46.81,23.85,29.86,5.514,5.553,0.0,0.0,0.0,,
9.15,19.89,19.91,19.99,46.81,24.12,30.14,5.525,5.553,0.222,0.0,0.0,,
9.2,19.95,20.08,19.99,46.82,24.4,30.42,5.542,5.553,0.333,0.0,0.0,,
9.25,20.02,19.91,19.99,46.82,24.68,30.69,5.561,5.553,0.389,0.0,0.0,,
9.3,20.1,20.08,19.99,46.82,24.96,30.97,5.583,5.553,0.444,0.0,0.0,,
9.35,20.16,19.91,19.99,46.81,25.24,31.25,5.6,5.553,0.333,0.0,0.0,,
9.4,20.2,20.08,19.99,46.81,25.52,31.53,5.611,5.553,0.222,0.0,0.0,,
9.45,20.18,19.91,19.99,46.81,25.8,31.8,5.606,5.553,-0.111,0.0,0.0,,
9.5,20.12,20.08,19.99,46.8,26.08,32.08,5.589,5.553,-0.333,0.0,0.0,,
9.55,20.02,19.91,19.99,46.8,26.36,32.36,5.561,5.553,-0.556,0.0,0.0,,
9.6,19.91,20.08,19.99,46.81,26.63,32.64,5.531,5.553,-0.611,0.0,0.0,,
