Frame,Actor_206,Ego_Vehicle
561,0.0,18.6
562,0.0,18.64
563,0.0,18.61
564,0.0,18.51
565,0.0,18.35
566,0.0,18.14
567,0.0,17.89
568,0.0,17.63
569,0.0,17.4
570,0.0,17.2
571,0.0,17.04
572,0.0,16.93
573,0.0,16.84
574,0.0,16.76
575,0.0,16.66
576,0.0,16.53
577,0.0,16.36
578,0.0,16.16
579,0.0,15.93
580,0.0,15.71
581,0.0,15.5
582,0.0,15.28
583,0.0,15.06
584,0.0,14.84
585,0.0,14.62
586,0.0,14.41
587,0.0,14.2
588,0.0,14.01
589,0.0,13.87
590,0.0,13.78
591,0.0,13.68
592,0.0,13.54
593,0.0,13.34
594,0.0,13.08
595,0.0,12.77
596,0.0,12.43
597,0.0,12.09
598,0.0,11.77
599,0.0,11.46
600,0.0,11.13
601,0.0,10.8
602,0.0,10.46
603,0.0,10.12
604,0.0,9.81
605,0.0,9.59
606,0.0,9.43
607,0.0,9.26
608,0.0,9.04
609,0.0,8.8
610,0.0,8.38
611,0.0,7.85
612,0.0,7.27
613,0.0,6.67
614,0.0,6.07
615,0.0,5.49
616,0.0,4.9
617,0.0,4.31
618,0.0,3.69
619,0.0,3.25
620,0.0,1.16
621,0.0,0.0
622,0.0,0.0
623,0.0,0.0
624,0.0,0.0
625,0.0,0.0
626,0.0,0.0
627,0.0,0.0
628,0.0,0.0
629,0.0,0.0
630,0.0,0.0
631,0.0,0.0
632,0.0,0.0
633,0.0,0.0
634,0.0,0.0
635,0.0,0.0
636,0.0,0.0
637,0.0,0.0
638,0.0,0.0
639,0.0,0.0
640,0.0,0.0
641,0.0,0.0
642,0.0,0.0
643,0.0,0.0
644,0.0,0.0
645,0.0,0.0
646,0.0,0.0
647,0.0,0.0
648,0.0,0.0
649,0.0,0.0
650,0.0,0.0
651,0.0,0.0
652,0.0,0.0
653,0.0,0.0
654,0.0,0.0
655,0.0,0.0
656,0.0,0.0
657,0.0,0.0
658,0.0,0.0
659,15.13,0.0
660,15.19,0.0
661,15.17,0.0
662,15.09,0.0
663,14.95,0.0
664,14.79,0.0
665,14.6,0.0
666,14.41,0.0
667,14.39,0.0
668,14.32,0.0
669,14.29,0.0
670,14.28,0.0
671,14.27,0.0
672,14.26,0.0
673,14.26,0.0
674,14.25,0.0
675,14.25,0.0
676,14.25,0.0
677,14.24,0.0
678,14.24,0.0
679,14.24,0.02
680,14.24,0.02
681,14.24,0.01
682,14.24,0.03
683,14.24,0.0
684,14.24,0.04
685,14.24,0.01
686,14.24,0.06
687,14.24,0.04
688,14.24,0.08
689,14.24,0.06
690,14.24,0.11
691,14.24,0.09
692,14.24,0.14
693,14.24,0.13
694,14.24,0.18
695,14.24,0.17
696,14.24,0.22
697,14.24,0.22
698,14.24,0.28
699,14.24,0.63
700,14.24,0.92
701,14.24,1.12
702,14.24,1.3
703,14.24,1.43
704,14.24,1.45
705,14.24,1.47
706,14.24,1.54
707,14.24,1.64
708,14.24,1.73
709,14.24,1.84
710,14.24,1.99
711,14.24,2.1
712,14.24,2.23
713,14.24,2.45
714,14.24,2.55
715,14.24,2.72
716,14.24,2.85
717,14.24,3.02
718,14.24,3.15
719,14.24,3.31
720,14.24,3.44
721,14.24,3.59
722,14.24,3.71
723,14.24,3.86
724,14.24,3.99
725,14.24,4.14
726,14.24,4.25
727,14.24,4.35
728,14.24,4.39
729,14.24,4.45
730,14.24,4.51
731,14.24,4.58
732,14.24,4.66
733,14.24,4.77
734,14.24,4.89
735,14.24,5.03
736,14.24,5.17
737,14.24,5.3
738,14.24,5.42
739,14.24,5.52
740,14.24,5.62
741,14.24,5.74
742,14.24,5.87
743,14.24,6.0
744,14.24,6.14
745,14.24,6.28
746,14.24,6.41
747,14.24,6.54
748,14.24,6.67
749,14.24,6.79
750,14.24,6.91
751,14.24,7.03
752,14.24,7.16
753,14.24,7.29
754,14.24,7.42
755,14.24,7.55
756,14.24,7.68
757,14.24,7.84
758,14.24,8.0
759,14.24,8.17
760,14.24,8.34
761,14.24,8.48
762,14.24,8.57
763,14.24,8.61
764,14.24,8.64
765,14.24,8.68
766,14.24,8.74
767,14.24,8.83
768,14.24,8.95
769,14.24,9.09
770,14.24,9.24
771,14.24,9.4
772,14.24,9.56
773,14.24,9.7
774,14.24,9.83
775,14.24,9.94
776,14.24,10.04
777,14.24,10.14
778,14.24,10.25
779,14.24,10.36
780,14.24,10.48
781,14.24,10.6
782,14.24,10.73
783,14.24,10.86
784,14.24,11.01
785,14.24,11.17
786,14.24,11.32
787,14.24,11.47
788,14.24,11.61
789,14.24,11.75
790,14.24,11.88
791,14.24,12.0
792,14.24,12.13
793,14.24,12.27
794,14.24,12.4
