sid,ego_speed,other_speed,other_distance,timeout,loss,min_ttc,collision,summary_log
1770756837.551-1205,26.503829195650113,19.426669053422287,11.6464419063851,90.0,1000000.0,,0,
1770756983.727-6374,30.291944218903517,10.30808349065159,0.8301843730884828,90.0,2.282129957884753,2.282129957884753,0,
1770757047.817-7038,8.382899853631148,20.89234081612573,1.0575758848286059,90.0,1000000.0,,0,
1770757047.818-6741,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770757112.287-2366,26.503829195650113,19.426669053422287,11.6464419063851,90.0,1000000.0,,0,
1770757259.710-4287,27.853683875355703,10.533290426905833,13.865852925742622,90.0,1000000.0,,0,
1770757405.142-1672,27.122730568374266,12.140075240253795,2.835772245758173,90.0,2.282129957884753,2.282129957884753,0,
1770757472.583-8170,12.902562598573194,18.978620587143126,-1.0123707229342758,90.0,1000000.0,,0,
1770757472.583-5420,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770757537.471-9212,27.853683875355703,10.533290426905833,13.865852925742622,90.0,1000000.0,,0,
1770757684.332-9038,22.869098038570993,27.373578208613075,10.876824107109691,90.0,1000000.0,,0,
1770757684.332-535,24.73564595684091,12.678288394659647,1.3389467128389363,90.0,2.282129957884753,2.282129957884753,0,
1770757752.394-1446,28.302484359171793,5.581234352217011,1.0737070477598172,90.0,2.282129957884753,2.282129957884753,0,
1770757825.255-4918,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770757897.279-9375,22.869098038570993,27.373578208613075,10.876824107109691,90.0,1000000.0,,0,
1770757897.283-861,24.39425550986732,46.99026239668513,11.915301269629117,90.0,1000000.0,,0,
1770757897.285-5784,27.183718514871217,10.896651991204305,-0.5203391399924515,90.0,2.282129957884753,2.282129957884753,0,
1770757962.846-8280,38.01544827091948,0.4338422460392355,2.566833734640439,90.0,2.282129957884753,2.282129957884753,0,
1770758041.326-6319,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770758106.652-741,24.39425550986732,46.99026239668513,11.915301269629117,90.0,1000000.0,,0,
1770758106.655-9074,20.55249258577057,39.74904110901534,6.6674392436711845,90.0,1000000.0,,0,
1770758106.655-2257,28.65881178911912,11.140088413272064,-0.7295717345036488,90.0,2.282129957884753,2.282129957884753,0,
1770758183.233-7747,25.95438127270131,1.3071464930130432,0.760163138526798,90.0,2.282129957884753,2.282129957884753,0,
1770758256.924-2798,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770758322.365-988,20.55249258577057,39.74904110901534,6.6674392436711845,90.0,1000000.0,,0,
1770758322.367-355,38.90810238864562,28.349903507837972,9.153018864967375,90.0,1000000.0,,0,
1770758472.469-1544,25.595986773311136,12.639201674339704,1.66956370617103,90.0,2.282129957884753,2.282129957884753,0,
1770758536.929-2744,19.967946974792632,9.754653102521441,-0.09419683368885112,90.0,2.282129957884753,2.282129957884753,0,
1770758614.373-417,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770758679.929-8226,38.90810238864562,28.349903507837972,9.153018864967375,90.0,1000000.0,,0,
1770758831.252-9324,23.880714942179253,45.2769250871341,3.509891548324994,90.0,1000000.0,,0,
1770758831.252-4229,23.93471945114707,13.361038481823652,1.4764439150822344,90.0,2.282129957884753,2.282129957884753,0,
1770758903.065-901,24.45551820422232,14.406826704291266,1.4471155680940648,90.0,2.282129957884753,2.282129957884753,0,
1770758968.963-6082,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770759048.127-928,23.880714942179253,45.2769250871341,3.509891548324994,90.0,1000000.0,,0,
1770759048.132-6344,21.85482696573361,49.19420596409878,2.8969146300960693,90.0,1000000.0,,0,
1770759048.132-3671,27.3718123557546,10.294410697794925,0.5079656526407795,90.0,2.282129957884753,2.282129957884753,0,
1770759119.675-6519,30.416872907952552,10.46140229411522,1.604231647864624,90.0,2.282129957884753,2.282129957884753,0,
1770759192.977-898,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770759269.091-3283,21.85482696573361,49.19420596409878,2.8969146300960693,90.0,1000000.0,,0,
1770759269.093-8650,45.15508302106697,15.138847430934291,18.439145013725327,90.0,1000000.0,,0,
1770759415.309-2473,29.72060207722801,10.10383652184181,0.1905368057495036,90.0,2.282129957884753,2.282129957884753,0,
1770759479.667-5602,31.486384584592805,7.136992675712079,1.5800147215304519,90.0,2.282129957884753,2.282129957884753,0,
1770759545.051-5070,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770759625.945-4410,45.15508302106697,15.138847430934291,18.439145013725327,90.0,1000000.0,,0,
1770759784.114-258,11.098542583055888,17.648217682829504,6.238209617324364,90.0,1000000.0,,0,
1770759784.114-4487,29.5627926238164,13.166491075035035,1.4757804345861814,90.0,2.282129957884753,2.282129957884753,0,
1770759863.315-872,29.093091006678755,6.740928571522577,0.5334157794186263,90.0,2.282129957884753,2.282129957884753,0,
1770759942.718-5924,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770760014.586-1546,11.098542583055888,17.648217682829504,6.238209617324364,90.0,1000000.0,,0,
1770760014.589-5583,36.90516254892202,45.79621899695881,16.97528509319674,90.0,1000000.0,,0,
1770760014.589-8366,25.37780391276501,14.253159298601087,1.2552104953013083,90.0,2.282129957884753,2.282129957884753,0,
1770760086.475-8714,24.151263076710492,9.209019042914273,0.6410270199658861,90.0,2.282129957884753,2.282129957884753,0,
1770760150.168-2333,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770760222.195-3185,36.90516254892202,45.79621899695881,16.97528509319674,90.0,1000000.0,,0,
1770760222.197-1018,49.767888737275385,17.117747193770448,5.670659971061323,90.0,1000000.0,,0,
1770760369.778-635,24.013568607619224,9.981254832679703,0.7655067426453754,90.0,2.282129957884753,2.282129957884753,0,
1770760443.753-3064,27.82990753145156,10.277302294287098,1.2211938280239854,90.0,2.282129957884753,2.282129957884753,0,
1770760508.123-9409,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770760587.105-1840,49.767888737275385,17.117747193770448,5.670659971061323,90.0,1000000.0,,0,
1770760732.946-4521,48.37446811369077,27.113596483401707,11.625472967671357,90.0,1000000.0,,0,
1770760880.364-3256,25.28461520832861,9.692122917589542,0.7316625907654332,90.0,2.282129957884753,2.282129957884753,0,
1770760947.285-6509,30.77660823859377,9.354445641169013,1.2387326531122134,90.0,2.282129957884753,2.282129957884753,0,
1770761011.136-9982,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770761076.095-1619,48.37446811369077,27.113596483401707,11.625472967671357,90.0,1000000.0,,0,
1770761222.069-8701,27.401510207823044,40.747409783556094,19.324057860384745,90.0,1000000.0,,0,
1770761222.069-7990,27.107407091481885,13.354133909384135,1.080621905292066,90.0,2.282129957884753,2.282129957884753,0,
1770761285.493-3308,28.310626994409464,3.600835001789404,0.8072129352567508,90.0,2.282129957884753,2.282129957884753,0,
1770761357.204-7732,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770761423.823-9404,27.401510207823044,40.747409783556094,19.324057860384745,90.0,1000000.0,,0,
1770761423.825-8488,26.915800153617482,32.07031536304988,7.134595564373338,90.0,1000000.0,,0,
1770761423.825-4552,28.302331261992304,14.372383924997283,0.8707662005869442,90.0,2.282129957884753,2.282129957884753,0,
1770761500.306-4812,25.31184484982131,10.785188607058286,0.7582740696729491,90.0,2.282129957884753,2.282129957884753,0,
1770761580.157-7147,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,2.282129957884753,0,
1770761647.471-208,26.915800153617482,32.07031536304988,7.134595564373338,90.0,1000000.0,,0,
1770761647.474-5596,41.10200024659569,21.13984707303959,11.86632300103476,90.0,2.229183529445264,2.229183529445264,0,
1770761794.851-4145,27.70441037540366,9.141528481425658,0.7351661463273464,90.0,2.229183529445264,2.229183529445264,0,
1770761859.682-7978,27.498392603298477,13.064299019256591,0.9587171157497488,90.0,2.229183529445264,2.229183529445264,0,
1770761926.234-5630,41.10200024659569,21.13984707303959,11.86632300103476,90.0,1000000.0,,0,
1770762072.370-348,38.052893011723114,46.79015497168894,5.288864368465756,90.0,1000000.0,,0,
1770762072.370-3731,17.851010565278663,15.754066868421459,5.150393801019154,90.0,12.371439003087348,12.371439003087348,0,
1770762225.025-3810,43.60230711477943,37.513509306751715,4.355198866617863,90.0,1000000.0,,0,
1770762379.316-7725,17.851010565278663,15.754066868421459,5.150393801019154,90.0,12.371441666955507,12.371441666955507,0,
1770762497.589-7880,10.667627076507703,10.841703587537083,17.793831245007507,90.0,1000000.0,,0,
1770762497.589-1191,29.226557534952043,15.41891165847684,16.448082918563543,90.0,1000000.0,,0,
1770762643.783-9330,17.891080290282968,15.967160685102138,5.24241573296528,90.0,1000000.0,,0,
1770762790.502-3475,10.667627076507703,10.841703587537083,17.793831245007507,90.0,1000000.0,,0,
1770762790.502-7962,29.226557534952043,15.41891165847684,16.448082918563543,90.0,1000000.0,,0,
1770762936.459-4423,32.33137301808291,17.201588301491704,17.282165478792486,90.0,1000000.0,,0,
1770763090.111-4501,5.696519369735747,5.962050414007978,20.987632519254365,90.0,1000000.0,,0,
1770763090.111-1589,20.344921837065705,4.336522288955443,8.650858869830078,90.0,1000000.0,,0,
1770763236.915-1433,32.33137301808291,17.201588301491704,17.282165478792486,90.0,2.6353330711322207,2.6353330711322207,0,
1770763356.436-9567,31.391640208010845,23.4318821417083,19.937889416218816,90.0,1000000.0,,0,
1770763502.660-6156,47.07778157065774,36.03487095017451,15.044085291054225,90.0,1.957269248050262,1.957269248050262,0,
1770763620.498-3908,30.507182640855717,20.524800997019263,12.123416214996626,90.0,1000000.0,,0,
1770763770.831-4416,47.07778157065774,36.03487095017451,15.044085291054225,90.0,1000000.0,,0,
1770763917.093-2545,19.693600110330895,22.706316084517972,15.715858956012092,90.0,1000000.0,,0,
1770763917.094-2544,46.77977470681355,35.82294333851163,15.406781455502886,90.0,1000000.0,,0,
1770764067.146-5607,47.11374490547641,36.12661854077358,15.110827784788805,90.0,1000000.0,,0,
1770764213.510-9619,19.693600110330895,22.706316084517972,15.715858956012092,90.0,1000000.0,,0,
1770764213.510-7262,46.77977470681355,35.82294333851163,15.406781455502886,90.0,1000000.0,,0,
1770764363.698-8124,49.05178130435977,27.689208613691218,13.029645072881907,90.0,1000000.0,,0,
1770764513.848-3708,30.52780610114884,45.753149092697136,11.553535790816845,90.0,1000000.0,,0,
1770764513.848-3653,19.117457953961836,17.830511522050063,22.052111807990457,90.0,1000000.0,,0,
1770764663.867-2941,49.05178130435977,27.689208613691218,13.029645072881907,90.0,1000000.0,,0,
1770764819.332-3526,30.52780610114884,45.753149092697136,11.553535790816845,90.0,1000000.0,,0,
1770764819.334-1027,43.10861319211546,28.129368216313022,6.919143713061117,90.0,1000000.0,,0,
1770764973.187-9050,48.44973159078708,34.277605522750875,8.998905088154626,90.0,1000000.0,,0,
1770765127.696-6031,44.33869979569019,26.739247685747205,10.423788474113278,90.0,0.7718987119860009,0.7718987119860009,0,
1770765245.794-1911,44.33869979569019,26.739247685747205,10.423788474113278,90.0,1000000.0,,0,
1770765395.710-3743,42.28244956164526,39.205706280194406,16.20868730738258,90.0,1000000.0,,0,
1770765548.934-7360,23.77477450942118,23.018992650721795,16.44622442161797,90.0,1000000.0,,0,
1770765699.400-1943,44.038598880376796,10.181980786861441,14.48661881176724,90.0,3.5812483935056316,3.5812483935056316,0,
1770765818.064-2305,44.038598880376796,10.181980786861441,14.48661881176724,90.0,1000000.0,,0,
1770765964.311-9630,41.76222758422771,27.170814777473005,19.63285232716129,90.0,1000000.0,,0,
1770766114.759-2196,21.480011534965527,43.02431191274026,15.73957637729917,90.0,1000000.0,,0,
1770766114.759-7076,43.86085733458988,10.2254757351894,14.431892165066632,90.0,1000000.0,,0,
1770766268.893-2453,41.76222758422771,27.170814777473005,19.63285232716129,90.0,1.906307880394431,1.906307880394431,0,
1770766386.516-4154,13.741136307320634,19.78957349849206,16.23745670537052,90.0,1000000.0,,0,
1770766386.516-2613,41.66407798621578,27.175145174555038,19.88435851567088,90.0,1000000.0,,0,
1770766540.253-8506,41.77264497730236,27.256612357822938,19.739729339361578,90.0,1000000.0,,0,
1770766690.934-8658,13.741136307320634,19.78957349849206,16.23745670537052,90.0,1000000.0,,0,
1770766690.934-8781,41.66407798621578,27.175145174555038,19.88435851567088,90.0,1000000.0,,0,
1770766841.171-716,12.622133222313071,39.3086817018969,14.495898765877712,90.0,1000000.0,,0,
1770766841.172-3690,26.464138540897917,17.932554957368442,16.44137608328899,90.0,1000000.0,,0,
1770766991.849-9621,11.559369788270134,6.562640905463191,12.679722898799838,90.0,1000000.0,,0,
1770767141.950-8301,12.622133222313071,39.3086817018969,14.495898765877712,90.0,1000000.0,,0,
1770767141.950-9804,26.464138540897917,17.932554957368442,16.44137608328899,90.0,1000000.0,,0,
1770767292.507-2335,11.506331081225664,16.448167631393634,17.004266701377134,90.0,1000000.0,,0,
1770767292.507-6416,25.607254707578203,25.50042113286765,15.301371258007057,90.0,1000000.0,,0,
1770767447.329-2979,12.603729475604611,46.10419601382589,16.07294698190815,90.0,1000000.0,,0,
1770767447.329-2747,11.506331081225664,16.448167631393634,17.004266701377134,90.0,1000000.0,,0,
1770767447.329-1671,12.622133222313071,39.3086817018969,14.495898765877712,90.0,1000000.0,,0,
1770767447.334-5451,34.27095758172855,35.11847615091051,15.774561193557872,90.0,1000000.0,,0,
1770767447.334-9083,7.601708205459379,24.429939254985385,15.566220156998753,90.0,1000000.0,,0,
1770767447.334-2577,13.863878980964847,47.203245741661576,19.745176203671683,90.0,1000000.0,,0,
1770767447.334-5397,34.27095758172855,35.11847615091051,15.774561193557872,90.0,1000000.0,,0,
1770767447.344-2035,46.26647039784849,41.96816945249976,18.711733681808724,90.0,1000000.0,,0,
1770767603.124-8049,46.59964255758601,40.01668046875494,16.79463950282407,90.0,1000000.0,,0,
1770767749.497-1548,31.263022608277403,15.532431452267605,5.304124700790139,90.0,1000000.0,,0,
1770767895.993-6915,46.26647039784849,41.96816945249976,18.711733681808724,90.0,1000000.0,,0,
1770768046.459-7840,44.844762638434695,27.125056873432758,9.763291920637565,90.0,1000000.0,,0,
1770768196.587-2386,30.70765304158695,27.915106763141488,9.05620728139917,90.0,1000000.0,,0,
1770768344.301-215,27.951739861373596,48.13439528338121,2.0709133596184186,90.0,1000000.0,,0,
1770768344.301-1886,44.844762638434695,27.125056873432758,9.763291920637565,90.0,20.520636091653053,20.520636091653053,0,
1770768462.349-5182,14.380258189944431,43.111124271486474,15.767673981667887,90.0,1000000.0,,0,
1770768462.349-6325,44.846587752648404,27.466344536823662,9.59974886406447,90.0,1000000.0,,0,
1770768612.624-5125,44.838944757567,27.136591063370663,9.770573315317437,90.0,1000000.0,,0,
