sid,ego_speed,other_speed,other_distance,timeout,min_ttc,collision,loss
1770753055.510-2974,28.97410772917777,11.072670241161191,10.718362137223725,90.0,3.117914006351809,0,3.117914006351809
1770753207.705-5432,29.267228867245986,11.157008976735705,10.575639951785728,90.0,,0,1000000.0
1770753353.864-488,36.31347593885673,32.87967545771559,5.811386589860485,90.0,,0,1000000.0
1770753507.779-8741,37.94469531888907,16.610417301460988,19.88784011105009,90.0,,0,1000000.0
1770753653.727-9491,36.31347593885673,32.87967545771559,5.811386589860485,90.0,,0,1000000.0
1770753807.394-9011,37.94469531888907,16.610417301460988,19.88784011105009,90.0,,0,1000000.0
1770753953.622-5163,40.14747156756467,26.00471845016129,21.925564467981552,90.0,2.5638666519904842,0,2.5638666519904842
1770754106.198-2855,40.14747156756467,26.00471845016129,21.925564467981552,90.0,,0,1000000.0
1770754251.921-3350,40.033039142963766,26.141782507410912,21.951695197442728,90.0,2.282129957884753,0,2.282129957884753
1770754405.964-8460,40.211897275439796,25.791261121059307,21.48028210149156,90.0,,0,1000000.0
1770754553.396-4681,40.033039142963766,26.141782507410912,21.951695197442728,90.0,,0,1000000.0
1770754700.566-2113,40.067481259581655,26.182986415943393,21.782913577733414,90.0,,0,1000000.0
1770754847.017-3643,39.97398154464013,26.110196438390666,21.658751434276937,90.0,,0,1000000.0
1770754994.813-3570,40.067481259581655,26.182986415943393,21.782913577733414,90.0,,0,1000000.0
1770755142.041-8319,16.09266468363525,12.739661959355777,5.772487652395162,90.0,,0,1000000.0
1770755289.025-4696,16.09266468363525,12.739661959355777,5.772487652395162,90.0,,0,1000000.0
1770755434.746-443,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,0,2.282129957884753
1770755498.730-8485,27.02185961682653,11.79804822388546,0.8941745373131225,90.0,2.282129957884753,0,2.282129957884753
